Genre,parent_genre,song_count
trap chileno,trap,100
hardcore techno,techno,100
kentucky roots,roots,100
cancion infantil latinoamericana,latin,100
russian drain,drain,100
sound,sound,100
neo-singer-songwriter,neo-singer-songwriter,100
indie hip hop,hip hop,100
russian gangster rap,hip hop,100
jazz saxophone,jazz,100
j-division,j-division,100
rock steady,rock,100
ukrainian pop,pop,100
alternative pop rock,rock,100
stomp pop,pop,100
instrumental rock,rock,100
brighton indie,indie,100
rap chileno,hip hop,100
stride,stride,100
boom bap,bap,100
chicago bop,bop,100
russian emo rap,emo,100
finnish metal,metal,100
g-house,house,76
laiko,laiko,100
rock gospel brasileiro,rock,100
flamenco,flamenco,100
surf punk,punk,100
christian trap,trap,100
afrofuturismo brasileiro,brasileiro,100
portuguese pop,pop,100
korean ost,ost,100
funk mandelao,funk,100
jazz piano,jazz,100
new jersey indie,indie,100
british folk,folk,100
new age piano,piano,100
small room,room,100
cumbia peruana,cumbia,100
sleaze rock,rock,100
future garage,garage,100
czech rock,rock,100
rap cristiano,hip hop,100
pop electronico,electro,100
taiwan singer-songwriter,singer-songwriter,100
classic pakistani pop,pop,100
happy hardcore,hardcore,100
rap df,hip hop,100
aussie drill,drill,99
rai,rai,100
pet calming,calming,100
traditional blues,blues,100
lo-fi,lo-fi,100
red dirt,dirt,100
liedermacher,liedermacher,100
djent,djent,100
australian reggae fusion,reggae,100
australian country,country,100
ambient folk,ambient,100
german hard rock,rock,100
latin metal,metal,100
middle earth,earth,100
australian indie folk,folk,100
rif,rif,100
indian indie,indie,100
mexican rock-and-roll,rock,100
swedish tropical house,house,100
italian disco,disco,100
electropowerpop,electro,100
pinoy indie,indie,100
japanese electropop,electro,100
karadeniz turkuleri,turkuleri,100
lagu jawa,jawa,100
j-acoustic,j-acoustic,100
singaporean pop,pop,100
progressive post-hardcore,post-hardcore,100
garage psych,psych,100
electro swing,electro,100
eau claire indie,indie,100
trap baiano,trap,100
slayer,slayer,97
edmonton indie,edm,100
russian punk,punk,100
women's music,music,100
variete francaise,francaise,100
oakland indie,indie,100
post-rock,rock,100
synth funk,funk,100
greek trap,trap,100
electronic rock,electro,100
colombian hip hop,hip hop,100
swedish pop rap,hip hop,100
belgian dance,dance,100
rap mineiro,hip hop,100
italian underground hip hop,hip hop,99
hopebeat,hopebeat,100
musica catalana,catalana,100
rap cearense,hip hop,100
banda caliente,caliente,100
banda jalisciense,jalisciense,100
swedish power metal,power metal,100
canzone d'autore,d'autore,100
reggaeton chileno,reggaeton,100
jazztronica,jazz,100
medieval folk,folk,100
british indie rock,rock,100
teen pop,pop,100
bolero mexicano,mexicano,100
austindie,indie,100
pop virale italiano,pop,100
latin afrobeat,latin,100
classic russian pop,pop,86
baltimore indie,indie,100
j-pop boy group,j-pop,100
livetronica,livetronica,100
nerdcore brasileiro,brasileiro,100
german house,house,100
duranguense,duranguense,100
cyberpunk,punk,100
future funk,funk,100
rhode island rap,hip hop,90
salsa international,salsa,100
organic electronic,electro,100
asian american hip hop,hip hop,100
impressionism,impressionism,100
cosmic american,american,100
turkce drill,drill,100
spanish punk,punk,100
el paso indie,indie,100
turkish alternative,alternative,100
groove room,room,100
kazakh pop,pop,100
art punk,punk,100
german reggae,reggae,100
bronx hip hop,hip hop,100
classic girl group,group,100
kazakh hip hop,hip hop,100
desi trap,trap,100
athens indie,indie,100
classic danish pop,pop,100
javanese dangdut,dangdut,100
persian pop,pop,100
solo wave,wave,100
trap venezolano,trap,100
jazz cover,jazz,100
lesen,lesen,98
swedish drill,drill,100
folk punk,punk,100
canadian latin,latin,100
kirtan,kirtan,100
german punk,punk,100
sky room,room,100
swedish singer-songwriter,singer-songwriter,90
comedy,comedy,100
classic cantopop,pop,100
chicha,chicha,100
dutch indie,indie,100
medieval rock,rock,100
afro soul,soul,100
experimental hip hop,hip hop,100
anime rap,hip hop,98
arabic hip hop,hip hop,100
ecuadorian pop,pop,100
indie quebecois,indie,100
rap underground espanol,hip hop,100
tollywood,tollywood,100
psychedelic soul,soul,100
norwegian pop rap,hip hop,100
german trance,trance,100
wonky,wonky,100
barnmusik,barnmusik,100
classic indo pop,pop,100
hindi hip hop,hip hop,100
rave funk,funk,100
trap funk,trap,100
nu-metalcore,metalcore,99
garage rock revival,rock,100
afrobeat,afrobeat,100
banda carnavalera,carnavalera,100
disney horspiele,horspiele,100
danish electronic,electro,100
jazz guitar,jazz,100
hamburg electronic,electro,100
j-idol,j-idol,100
indian singer-songwriter,singer-songwriter,74
wave,wave,100
glee club,club,100
anime latino,latin,100
dangdut koplo,koplo,100
dansband,dansband,100
danish rock,rock,100
early modern classical,classical,100
russian ccm,ccm,100
classic norwegian pop,pop,100
liquid funk,funk,100
musica triste brasileira,brasileira,99
j-metal,metal,100
chicago punk,punk,100
j-pop girl group,j-pop,100
spanish metal,metal,100
old school dancehall,dancehall,100
central asian hip hop,hip hop,100
russian post-punk,punk,99
ottawa rap,hip hop,100
drill brasileiro,drill,100
mississippi hip hop,hip hop,100
south african alternative,alternative,100
breakbeat,breakbeat,100
rap inde,hip hop,100
neoclassical darkwave,classical,100
rap underground mexicano,hip hop,100
musica tradicional cubana,cubana,100
bc underground hip hop,hip hop,100
a cappella,cappella,100
minimal tech house,house,100
tamil hip hop,hip hop,100
electro-pop francais,electro,100
indonesian folk pop,pop,100
turkish deep house,house,100
harlem renaissance,renaissance,100
fourth world,world,100
portland hip hop,hip hop,100
russian rave,rave,100
uptempo hardcore,hardcore,100
nashville singer-songwriter,singer-songwriter,100
uk doom metal,doom metal,100
deep disco house,house,100
rock uruguayo,rock,100
cumbia santafesina,cumbia,100
australian garage punk,punk,100
australian house,house,100
bluegrass,country,100
nu gaze,gaze,100
rap maroc,hip hop,100
greek hip hop,hip hop,100
icelandic indie,indie,100
kentucky indie,indie,100
uk dnb,drum and bass,100
welsh rock,rock,100
uk dancehall,dancehall,100
polish classical,classical,100
chillsynth,chillsynth,100
czech hip hop,hip hop,100
hip hop tuga,hip hop,100
folktronica,folk,100
rap baiano,hip hop,100
soca,soca,100
idol rock,rock,100
czech pop,pop,100
brega funk,funk,100
uk reggae,reggae,100
ye ye,ye,100
ethnotronica,ethnotronica,100
moroccan pop,pop,100
german power metal,power metal,100
vallenato moderno,moderno,100
pakistani hip hop,hip hop,100
instrumental funk,funk,100
classic indonesian rock,rock,100
german singer-songwriter,singer-songwriter,100
melodic thrash,thrash,100
taiwan indie,indie,100
canadian electropop,electro,100
trap dominicano,trap,100
chill guitar,guitar,100
liverpool indie,indie,100
japanese instrumental,instrumental,100
electronica argentina,electro,100
punjabi hip hop,hip hop,100
slowcore,slowcore,100
ghazal,ghazal,100
brazilian ccm,ccm,100
instrumental grime,grime,100
retro soul,soul,100
slowed and reverb,reverb,100
russian electronic,electro,100
uk house,house,100
rap algerien,hip hop,100
channel pop,pop,100
